id,product_id,product_sku,rating,title,body,reviewer_name,verified_purchase,created_at
1,1,ZL00001,3,Love this,Instructions were clear and setup took only a few minutes.,Uma,1,2024-07-05 14:00:00
2,1,ZL00001,3,Reliable so far,Used it for two weeks and it holds up well for daily use.,Ben,1,2024-07-30 14:00:00
3,1,ZL00001,4,Solid everyday pick,Good value compared with similar products I have tried.,Danial,0,2024-05-28 14:00:00
4,1,ZL00001,4,Useful addition,Feels durable. A couple of small scuffs from shipping but fine overall.,Farid,1,2024-06-07 14:00:00
5,2,ZL00002,5,Happy with it,Packaging was neat and the item matched the listing details.,Victor,1,2024-07-24 01:00:00
6,3,ZL00003,4,Love this,"Would appreciate more colour options, but this shade works for me.",Nora,1,2025-07-03 20:00:00
7,3,ZL00003,5,Nice finish,Good value compared with similar products I have tried.,Wei,1,2025-04-27 20:00:00
8,3,ZL00003,5,Useful addition,Feels durable. A couple of small scuffs from shipping but fine overall.,Omar,0,2025-03-22 20:00:00
9,4,ZL00004,3,Would buy again,Packaging was neat and the item matched the listing details.,Marcus,1,2025-01-17 07:00:00
10,5,ZL00005,2,Decent for the money,"Would appreciate more colour options, but this shade works for me.",Siti,1,2024-09-24 16:00:00
11,5,ZL00005,3,Love this,Instructions were clear and setup took only a few minutes.,Elena,1,2025-01-05 16:00:00
12,5,ZL00005,2,Better than expected,Feels durable. A couple of small scuffs from shipping but fine overall.,Jonas,1,2024-11-10 16:00:00
13,5,ZL00005,4,Not bad at all,Material quality is better than I expected at this price point.,Aisha,1,2025-01-12 16:00:00
14,6,ZL00006,5,Exactly as described,Colour is accurate and sizing feels true based on the chart.,Yasmin,1,2024-05-28 20:00:00
15,7,ZL00007,4,Would buy again,Used it for two weeks and it holds up well for daily use.,Victor,1,2024-07-13 00:00:00
16,7,ZL00007,4,Useful addition,Used it for two weeks and it holds up well for daily use.,Yasmin,1,2024-06-28 00:00:00
17,8,ZL00008,4,Better than expected,Colour is accurate and sizing feels true based on the chart.,Uma,1,2024-09-27 09:00:00
18,9,ZL00009,5,Reliable so far,Packaging was neat and the item matched the listing details.,Zara,0,2025-05-02 17:00:00
19,9,ZL00009,3,Arrived quickly,Instructions were clear and setup took only a few minutes.,Zara,0,2025-06-19 17:00:00
20,9,ZL00009,4,Love this,Material quality is better than I expected at this price point.,Tom,1,2025-05-03 17:00:00
21,9,ZL00009,3,Good build quality,I bought this as a gift and the recipient liked it immediately.,Priya,1,2025-04-20 17:00:00
22,10,ZL00010,4,Reliable so far,Good value compared with similar products I have tried.,Chloe,1,2024-02-09 08:00:00
23,10,ZL00010,5,Nice finish,Instructions were clear and setup took only a few minutes.,Victor,1,2024-05-07 08:00:00
24,11,ZL00011,4,Love this,Material quality is better than I expected at this price point.,Lina,0,2024-07-05 23:00:00
25,11,ZL00011,5,Arrived quickly,Feels durable. A couple of small scuffs from shipping but fine overall.,Wei,0,2024-05-05 23:00:00
26,11,ZL00011,4,Good build quality,Good value compared with similar products I have tried.,Danial,1,2024-05-11 23:00:00
27,11,ZL00011,3,Reliable so far,Material quality is better than I expected at this price point.,Zara,1,2024-04-25 23:00:00
28,12,ZL00012,3,Useful addition,Good value compared with similar products I have tried.,Ivy,1,2024-10-31 09:00:00
29,13,ZL00013,4,Worth the price,"Would appreciate more colour options, but this shade works for me.",Nora,0,2025-02-19 20:00:00
30,13,ZL00013,4,Arrived quickly,I bought this as a gift and the recipient liked it immediately.,Kai,1,2025-05-04 20:00:00
31,13,ZL00013,3,Happy with it,Colour is accurate and sizing feels true based on the chart.,Kai,0,2025-05-07 20:00:00
32,14,ZL00014,4,Nice finish,Material quality is better than I expected at this price point.,Ivy,1,2024-10-29 11:00:00
33,14,ZL00014,4,Happy with it,"Would appreciate more colour options, but this shade works for me.",Siti,0,2025-01-11 11:00:00
34,15,ZL00015,4,Would buy again,Colour is accurate and sizing feels true based on the chart.,Hassan,0,2024-04-05 10:00:00
35,15,ZL00015,5,Nice finish,Colour is accurate and sizing feels true based on the chart.,Farid,1,2024-02-03 10:00:00
36,15,ZL00015,5,Happy with it,I bought this as a gift and the recipient liked it immediately.,Tom,1,2024-03-27 10:00:00
37,15,ZL00015,5,Worth the price,Good value compared with similar products I have tried.,Omar,1,2024-03-22 10:00:00
38,16,ZL00016,5,Nice finish,Colour is accurate and sizing feels true based on the chart.,Uma,1,2024-11-08 15:00:00
39,16,ZL00016,5,Useful addition,Packaging was neat and the item matched the listing details.,Jonas,0,2024-07-20 15:00:00
40,17,ZL00017,5,Solid everyday pick,Colour is accurate and sizing feels true based on the chart.,Ben,1,2025-06-18 09:00:00
41,17,ZL00017,5,Solid everyday pick,Used it for two weeks and it holds up well for daily use.,Hassan,1,2025-06-29 09:00:00
42,17,ZL00017,5,Arrived quickly,Material quality is better than I expected at this price point.,Nora,1,2025-09-01 09:00:00
43,17,ZL00017,5,Useful addition,Used it for two weeks and it holds up well for daily use.,Priya,0,2025-06-15 09:00:00
44,18,ZL00018,2,Useful addition,Packaging was neat and the item matched the listing details.,Elena,1,2025-01-09 20:00:00
45,18,ZL00018,3,Not bad at all,Feels durable. A couple of small scuffs from shipping but fine overall.,Aisha,1,2024-12-28 20:00:00
46,19,ZL00019,5,Love this,Material quality is better than I expected at this price point.,Kai,1,2024-03-25 15:00:00
47,20,ZL00020,3,Arrived quickly,Instructions were clear and setup took only a few minutes.,Yasmin,1,2025-01-28 07:00:00
48,20,ZL00020,2,Exactly as described,Colour is accurate and sizing feels true based on the chart.,Farid,1,2025-01-15 07:00:00
49,20,ZL00020,2,Good build quality,Works as advertised. Battery/performance is satisfactory so far.,Victor,0,2024-12-22 07:00:00
50,21,ZL00021,3,Would buy again,"Would appreciate more colour options, but this shade works for me.",Marcus,1,2024-02-24 06:00:00
51,22,ZL00022,2,Not bad at all,"Would appreciate more colour options, but this shade works for me.",Quinn,0,2024-06-10 05:00:00
52,22,ZL00022,2,Decent for the money,"Would appreciate more colour options, but this shade works for me.",Uma,1,2024-05-23 05:00:00
53,22,ZL00022,5,Love this,Colour is accurate and sizing feels true based on the chart.,Ben,0,2024-04-25 05:00:00
54,23,ZL00023,3,Better than expected,Feels durable. A couple of small scuffs from shipping but fine overall.,Zara,0,2025-01-07 19:00:00
55,23,ZL00023,3,Worth the price,Colour is accurate and sizing feels true based on the chart.,Chloe,1,2025-04-01 19:00:00
56,23,ZL00023,2,Love this,Material quality is better than I expected at this price point.,Yasmin,1,2025-03-08 19:00:00
57,24,ZL00024,4,Better than expected,I bought this as a gift and the recipient liked it immediately.,Chloe,1,2024-05-28 17:00:00
58,24,ZL00024,3,Arrived quickly,Used it for two weeks and it holds up well for daily use.,Wei,1,2024-08-09 17:00:00
59,24,ZL00024,3,Worth the price,Packaging was neat and the item matched the listing details.,Jonas,0,2024-07-28 17:00:00
60,24,ZL00024,3,Nice finish,Works as advertised. Battery/performance is satisfactory so far.,Omar,1,2024-08-23 17:00:00
61,25,ZL00025,3,Exactly as described,Feels durable. A couple of small scuffs from shipping but fine overall.,Ravi,1,2024-05-17 03:00:00
62,25,ZL00025,5,Worth the price,Works as advertised. Battery/performance is satisfactory so far.,Wei,0,2024-04-23 03:00:00
63,25,ZL00025,3,Nice finish,Colour is accurate and sizing feels true based on the chart.,Chloe,0,2024-02-07 03:00:00
64,25,ZL00025,4,Better than expected,Packaging was neat and the item matched the listing details.,Grace,1,2024-03-14 03:00:00
65,26,ZL00026,4,Arrived quickly,I bought this as a gift and the recipient liked it immediately.,Siti,1,2024-10-28 12:00:00
66,26,ZL00026,3,Useful addition,Works as advertised. Battery/performance is satisfactory so far.,Lina,1,2024-10-07 12:00:00
67,26,ZL00026,2,Not bad at all,Colour is accurate and sizing feels true based on the chart.,Quinn,1,2024-10-01 12:00:00
68,27,ZL00027,4,Nice finish,Material quality is better than I expected at this price point.,Elena,1,2024-04-21 03:00:00
69,27,ZL00027,4,Would buy again,Works as advertised. Battery/performance is satisfactory so far.,Quinn,0,2024-07-20 03:00:00
70,27,ZL00027,4,Happy with it,"Would appreciate more colour options, but this shade works for me.",Chloe,1,2024-05-23 03:00:00
71,27,ZL00027,5,Solid everyday pick,Works as advertised. Battery/performance is satisfactory so far.,Omar,1,2024-04-29 03:00:00
72,28,ZL00028,5,Love this,Instructions were clear and setup took only a few minutes.,Uma,1,2025-05-10 02:00:00
73,28,ZL00028,3,Nice finish,I bought this as a gift and the recipient liked it immediately.,Jonas,0,2025-03-19 02:00:00
74,28,ZL00028,5,Exactly as described,Colour is accurate and sizing feels true based on the chart.,Omar,0,2025-05-10 02:00:00
75,29,ZL00029,4,Nice finish,I bought this as a gift and the recipient liked it immediately.,Lina,1,2024-05-04 03:00:00
76,29,ZL00029,2,Not bad at all,Material quality is better than I expected at this price point.,Grace,1,2024-05-23 03:00:00
77,30,ZL00030,3,Love this,"Would appreciate more colour options, but this shade works for me.",Zara,0,2024-11-23 16:00:00
78,30,ZL00030,5,Better than expected,Packaging was neat and the item matched the listing details.,Siti,1,2024-11-29 16:00:00
