index,name,images,wholesale,sale
1,"Essence Mascara Lash Princess",2,8.33,10
2,"Gucci Bloom Eau de",4,66.66,79.99
3,"Apple Airpods",4,108.33,130
4,"Apple Airpower Wireless Charger",2,66.66,79.99
5,"Apple MagSafe Battery Pack",3,83.33,100
6,"Annibale Colombo Bed",4,1583.33,1900
7,"Eyeshadow Palette with Mirror",2,16.66,19.99
8,"Calvin Klein CK One",4,41.66,49.99
9,"Apple AirPods Max Silver",2,458.33,550
10,"Attitude Super Leaves Hand Soap",4,7.49,8.99
11,"American Football",2,16.66,19.99
12,"Annibale Colombo Sofa",4,2083.32,2499.98
13,"Powder Canister",2,12.49,14.99
14,"Chanel Coco Noir Eau De",4,108.33,130
15,"Apple HomePod Mini Cosmic Grey",2,83.33,100
16,"Olay Ultra Moisture Shea Butter Body Wash",4,10.83,13
17,"Baseball Ball",2,7.49,8.99
18,"Bedside Table African Cherry",4,249.99,299.99
19,"Red Lipstick",2,10.83,13
20,"Dior J'adore",4,74.99,89.99
21,"Apple iPhone Charger",3,16.66,19.99
22,"Vaseline Men Body and Face Lotion",4,8.33,10
23,"Baseball Glove",4,20.83,25
24,"Knoll Saarinen Executive Conference Chair",4,416.66,499.99
25,"Red Nail Polish",2,7.49,8.99
26,"Apple Watch Series 4 Gold",4,291.66,349.99
27,"Cricket Helmet",5,37.49,44.99
28,"Basketball",2,12.49,14.99
29,"Decoration Swing",4,49.99,59.99
30,"Beats Flex Wireless Earphones",2,41.66,49.99
31,"Cricket Wicket",2,24.99,29.99
32,"Basketball Rim",2,33.33,40
33,"Family Tree Photo Frame",2,24.99,29.99
34,"iPhone 12 Silicone Case with MagSafe Plum",5,24.99,29.99
35,"Feather Shuttlecock",2,4.99,5.99
36,"Cricket Ball",2,10.83,13
37,"House Showpiece Plant",4,33.33,40
38,"Monopod",3,16.66,19.99
39,"Iron Golf",2,41.66,49.99
40,"Cricket Bat",2,24.99,29.99
41,"Plant Pot",5,12.49,14.99
42,"Selfie Lamp with iPhone",2,12.49,14.99
43,"Black Sun Glasses",4,24.99,29.99
44,"Football",2,14.99,17.99
45,"Table Lamp",2,41.66,49.99
46,"Selfie Stick Monopod",2,10.83,13
47,"Classic Sun Glasses",4,20.83,25
48,"Golf Ball",2,8.33,10
49,"TV Studio Camera Pedestal",2,416.66,499.99
50,"Green and Black Glasses",4,29.16,34.99
51,"Wooden Bathroom Sink With Mirror",4,666.66,799.99
52,"SanDisk SSD PLUS 1TB Internal SSD - SATA III 6 Gb/s",1,90.83,109
53,"Party Glasses",4,16.66,19.99
54,"Metal Baseball Bat",2,24.99,29.99
55,"Silicon Power 256GB SSD 3D NAND A55 SLC Cache Performance Boost SATA III 2.5",1,90.83,109
56,"Sunglasses",4,19.16,22.99
57,"Tennis Ball",2,5.83,7
58,"WD 4TB Gaming Drive Works with Playstation 4 Portable External Hard Drive",1,95,114
59,"Bamboo Spatula",2,6.66,7.99
60,"Tennis Racket",2,41.66,49.99
61,"Samsung 49-Inch CHG90 144Hz Curved Gaming Monitor (LC49HG90DMNXZA) – Super Ultrawide Screen QLED",1,833.33,1000
62,"Black Aluminium Cup",3,4.99,5.99
63,"Volleyball",2,9.99,11.99
64,"WD 2TB Elements Portable External Hard Drive - USB 3.0",1,53.33,64
65,"Black Whisk",2,8.33,10
66,"Boxed Blender",5,33.33,40
67,"Carbon Steel Wok",2,24.99,29.99
68,"Chopping Board",2,10.83,13
69,"Citrus Squeezer Yellow",2,7.49,8.99
70,"Egg Slicer",2,5.83,7
71,"Electric Stove",5,41.66,49.99
72,"Fine Mesh Strainer",2,8.33,10
73,"Fork",2,3.33,4
74,"Glass",2,4.16,4.99
75,"Grater Black",2,9.16,10.99
76,"Hand Blender",2,29.16,34.99
77,"Ice Cube Tray",2,4.99,5.99
78,"Kitchen Sieve",2,6.66,7.99
79,"Knife",2,12.49,14.99
80,"Lunch Box",2,10.83,13
81,"Microwave Oven",5,74.99,89.99
82,"Mug Tree Stand",3,13.33,16
83,"Pan",2,20.83,25
84,"Plate",2,3.33,4
85,"Red Tongs",2,5.83,7
86,"Silver Pot With Glass Cap",2,33.33,40
87,"Slotted Turner",2,7.49,8.99
88,"Spice Rack",2,16.66,19.99
89,"Spoon",2,4.16,4.99
90,"Tray",2,14.16,16.99
91,"Wooden Rolling Pin",2,9.99,11.99
92,"Yellow Peeler",2,4.99,5.99
93,"Dolce Shine Eau de",4,58.33,70
94,"Amazon Echo Plus",3,83.33,100
95,"Fjallraven - Foldsack No. 1 Backpack, Fits 15 Laptops",1,91.63,109.96
96,"Acer SB220Q bi 21.5 inches Full HD (1920 x 1080) IPS Ultra-Thin",1,499.17,599
97,"John Hardy Women's Legends Naga Gold & Silver Dragon Station Chain Bracelet",1,579.17,695
98,"Solid Gold Petite Micropave",1,140,168
99,"White Gold Plated Princess",1,8.33,10
100,"Pierced Owl Rose Gold Plated Stainless Steel Double",1,9.16,10.99
