index,sku,name,slug,wholesale,sale_price,image_url
1,LS-001-mrl6ouw9,"Northwind Scented Soy Candle Set",ls-northwind-scented-soy-candle-set-mrl6ouw9-1,18.5,22.2,https://images.unsplash.com/photo-1586023492125-27b2c045efd7?w=800&q=80&auto=format&fit=crop
2,LS-002-mrl6ouw9,"Lumen Ceramic Diffuser Lamp",ls-lumen-ceramic-diffuser-lamp-mrl6ouw9-2,32,38.4,https://images.unsplash.com/photo-1567016432779-094069958ea5?w=800&q=80&auto=format&fit=crop
3,LS-003-mrl6ouw9,"Harbour Reed Diffuser — Sea Salt",ls-harbour-reed-diffuser-sea-salt-mrl6ouw9-3,22,26.4,https://images.unsplash.com/photo-1513694203232-719a280e022f?w=800&q=80&auto=format&fit=crop
4,LS-004-mrl6ouw9,"Kanvas Cork Yoga Mat 5mm",ls-kanvas-cork-yoga-mat-5mm-mrl6ouw9-4,28,33.6,https://images.unsplash.com/photo-1524758631624-e2822e304c36?w=800&q=80&auto=format&fit=crop
5,LS-005-mrl6ouw9,"Stillpoint Meditation Cushion",ls-stillpoint-meditation-cushion-mrl6ouw9-5,24.5,29.4,https://images.unsplash.com/photo-1616486338812-3dadae4b4ace?w=800&q=80&auto=format&fit=crop
6,LS-006-mrl6ouw9,"Flexband Resistance Loop Pack",ls-flexband-resistance-loop-pack-mrl6ouw9-6,12,14.4,https://images.unsplash.com/photo-1556228453-efd6c1ff04f6?w=800&q=80&auto=format&fit=crop
7,LS-007-mrl6ouw9,"Dawnlight Foam Roller",ls-dawnlight-foam-roller-mrl6ouw9-7,16,19.2,https://images.unsplash.com/photo-1481277542470-605612bd2d61?w=800&q=80&auto=format&fit=crop
8,LS-008-mrl6ouw9,"Oak & Ember Acacia Serving Board",ls-oak-ember-acacia-serving-board-mrl6ouw9-8,21,25.2,https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=800&q=80&auto=format&fit=crop
9,LS-009-mrl6ouw9,"Cascade Pour-Over Coffee Kit",ls-cascade-pour-over-coffee-kit-mrl6ouw9-9,29.5,35.4,https://images.unsplash.com/photo-1513885535751-8b9238bd345a?w=800&q=80&auto=format&fit=crop
10,LS-010-mrl6ouw9,"Nimbus Double-Wall Travel Mug 350ml",ls-nimbus-double-wall-travel-mug-350ml-mrl6ouw9-10,17,20.4,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85?w=800&q=80&auto=format&fit=crop
11,LS-011-mrl6ouw9,"Fieldcraft Stainless Water Bottle 750ml",ls-fieldcraft-stainless-water-bottle-750ml-mrl6ouw9-11,19,22.8,https://images.unsplash.com/photo-1494438639946-1ebd1d20bf85?w=800&q=80&auto=format&fit=crop
12,LS-012-mrl6ouw9,"Paper & Pine Dot Grid Journal A5",ls-paper-pine-dot-grid-journal-a5-mrl6ouw9-12,14,16.8,https://images.unsplash.com/photo-1615873968403-89e068629265?w=800&q=80&auto=format&fit=crop
13,LS-013-mrl6ouw9,"Keystone Desk Organiser Tray",ls-keystone-desk-organiser-tray-mrl6ouw9-13,15.5,18.6,https://images.unsplash.com/photo-1600210492493-0946911123ea?w=800&q=80&auto=format&fit=crop
14,LS-014-mrl6ouw9,"Brightfolio LED Desk Lamp",ls-brightfolio-led-desk-lamp-mrl6ouw9-14,34,40.8,https://images.unsplash.com/photo-1600585154340-be6161a56a0c?w=800&q=80&auto=format&fit=crop
15,LS-015-mrl6ouw9,"Polaris Soft Throw Blanket",ls-polaris-soft-throw-blanket-mrl6ouw9-15,23,27.6,https://images.unsplash.com/photo-1600607687939-ce8a6c25118c?w=800&q=80&auto=format&fit=crop
16,LS-016-mrl6ouw9,"Nestweave Cotton Cushion Cover Pair",ls-nestweave-cotton-cushion-cover-pair-mrl6ouw9-16,16.5,19.8,https://images.unsplash.com/photo-1598928636135-d146006ff4be?w=800&q=80&auto=format&fit=crop
17,LS-017-mrl6ouw9,"Verdant Ceramic Plant Pot Set",ls-verdant-ceramic-plant-pot-set-mrl6ouw9-17,20,24,https://images.unsplash.com/photo-1416879595882-3373a0480b5b?w=800&q=80&auto=format&fit=crop
18,LS-018-mrl6ouw9,"Canopy Self-Watering Herb Planter",ls-canopy-self-watering-herb-planter-mrl6ouw9-18,18,21.6,https://images.unsplash.com/photo-1491147334573-44cbb4602074?w=800&q=80&auto=format&fit=crop
19,LS-019-mrl6ouw9,"Solstice Linen Napkin Set of 4",ls-solstice-linen-napkin-set-of-4-mrl6ouw9-19,13.5,16.2,https://images.unsplash.com/photo-1501004318641-b39e6451bec6?w=800&q=80&auto=format&fit=crop
20,LS-020-mrl6ouw9,"Coppernest Insulated Lunch Tote",ls-coppernest-insulated-lunch-tote-mrl6ouw9-20,17.5,21,https://images.unsplash.com/photo-1518531933037-91b2f5f229cc?w=800&q=80&auto=format&fit=crop
21,LS-021-mrl6ouw9,"UrbanMesh Compact Picnic Blanket",ls-urbanmesh-compact-picnic-blanket-mrl6ouw9-21,22.5,27,https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=800&q=80&auto=format&fit=crop
22,LS-022-mrl6ouw9,"Atlas Peak Daypack 18L",ls-atlas-peak-daypack-18l-mrl6ouw9-22,36,43.2,https://images.unsplash.com/photo-1518611012118-696072aa579a?w=800&q=80&auto=format&fit=crop
23,LS-023-mrl6ouw9,"Silkroad Canvas Market Tote",ls-silkroad-canvas-market-tote-mrl6ouw9-23,11,13.2,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=800&q=80&auto=format&fit=crop
24,LS-024-mrl6ouw9,"Aurelia Velvet Eye Mask",ls-aurelia-velvet-eye-mask-mrl6ouw9-24,9.5,11.4,https://images.unsplash.com/photo-1571902943202-507ec2618e8f?w=800&q=80&auto=format&fit=crop
25,LS-025-mrl6ouw9,"Nightingale Weighted Sleep Mask Set",ls-nightingale-weighted-sleep-mask-set-mrl6ouw9-25,14.5,17.4,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085?w=800&q=80&auto=format&fit=crop
26,LS-026-mrl6ouw9,"Helix Care Bamboo Bath Towel Pair",ls-helix-care-bamboo-bath-towel-pair-mrl6ouw9-26,26,31.2,https://images.unsplash.com/photo-1509042239860-f550ce710b93?w=800&q=80&auto=format&fit=crop
27,LS-027-mrl6ouw9,"Kelp & Clay Body Scrub Set",ls-kelp-clay-body-scrub-set-mrl6ouw9-27,19.5,23.4,https://images.unsplash.com/photo-1511920170033-f8396924c348?w=800&q=80&auto=format&fit=crop
28,LS-028-mrl6ouw9,"Lumenora Salt Crystal Lamp",ls-lumenora-salt-crystal-lamp-mrl6ouw9-28,27,32.4,https://images.unsplash.com/photo-1559056199-641a0ac8b55e?w=800&q=80&auto=format&fit=crop
29,LS-029-mrl6ouw9,"Driftwood Wall Art Print A3",ls-driftwood-wall-art-print-a3-mrl6ouw9-29,25,30,https://images.unsplash.com/photo-1521017432531-fbd92d768814?w=800&q=80&auto=format&fit=crop
30,LS-030-mrl6ouw9,"Harbor Glass Bud Vase Trio",ls-harbor-glass-bud-vase-trio-mrl6ouw9-30,12.5,15,https://images.unsplash.com/photo-1470337458703-46ad1756a187?w=800&q=80&auto=format&fit=crop
31,LS-031-mrl6ouw9,"Summit Forge Campfire Mug Enamel",ls-summit-forge-campfire-mug-enamel-mrl6ouw9-31,10,12,https://images.unsplash.com/photo-1434030216411-0b793f4b4173?w=800&q=80&auto=format&fit=crop
32,LS-032-mrl6ouw9,"Fieldcraft Compact Picnic Cutlery",ls-fieldcraft-compact-picnic-cutlery-mrl6ouw9-32,11.5,13.8,https://images.unsplash.com/photo-1544716278-ca5e3f4abd8c?w=800&q=80&auto=format&fit=crop
33,LS-033-mrl6ouw9,"NovaByte Portable Bluetooth Speaker Mini",ls-novabyte-portable-bluetooth-speaker-mini-mrl6ouw9-33,31,37.2,https://images.unsplash.com/photo-1500530855697-b586d89ba3ee?w=800&q=80&auto=format&fit=crop
34,LS-034-mrl6ouw9,"Voltura Desk Cable Clip Pack",ls-voltura-desk-cable-clip-pack-mrl6ouw9-34,7.5,9,https://images.unsplash.com/photo-1469854523086-cc02fe5d8800?w=800&q=80&auto=format&fit=crop
35,LS-035-mrl6ouw9,"Bluefinch Reading Book Light",ls-bluefinch-reading-book-light-mrl6ouw9-35,13,15.6,https://images.unsplash.com/photo-1476514525535-07fb3b4ae5f1?w=800&q=80&auto=format&fit=crop
36,LS-036-mrl6ouw9,"Paper & Pine Bookmark Ribbon Set",ls-paper-pine-bookmark-ribbon-set-mrl6ouw9-36,6.5,7.8,https://images.unsplash.com/photo-1488646953014-85cb44e25828?w=800&q=80&auto=format&fit=crop
37,LS-037-mrl6ouw9,"Cinder Lane Matcha Whisk Kit",ls-cinder-lane-matcha-whisk-kit-mrl6ouw9-37,24,28.8,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=800&q=80&auto=format&fit=crop
38,LS-038-mrl6ouw9,"Cascade Brew French Press 600ml",ls-cascade-brew-french-press-600ml-mrl6ouw9-38,27.5,33,https://images.unsplash.com/photo-1523906834658-6e24ef2386f9?w=800&q=80&auto=format&fit=crop
39,LS-039-mrl6ouw9,"Oak & Ember Coaster Set of 6",ls-oak-ember-coaster-set-of-6-mrl6ouw9-39,11,13.2,https://images.unsplash.com/photo-1506197603052-3cc9c3a201bd?w=800&q=80&auto=format&fit=crop
40,LS-040-mrl6ouw9,"Stillpoint Essential Oil Roller Trio",ls-stillpoint-essential-oil-roller-trio-mrl6ouw9-40,16,19.2,https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800&q=80&auto=format&fit=crop
41,LS-041-mrl6ouw9,"Kanvas Mandala Yoga Strap",ls-kanvas-mandala-yoga-strap-mrl6ouw9-41,9,10.8,https://images.unsplash.com/photo-1506905925346-21bda4d32df4?w=800&q=80&auto=format&fit=crop
42,LS-042-mrl6ouw9,"UrbanMesh Foldable Shopping Crate",ls-urbanmesh-foldable-shopping-crate-mrl6ouw9-42,14,16.8,https://images.unsplash.com/photo-1556228720-195a672e8a03?w=800&q=80&auto=format&fit=crop
43,LS-043-mrl6ouw9,"Polaris Memory Foam Travel Pillow",ls-polaris-memory-foam-travel-pillow-mrl6ouw9-43,18,21.6,https://images.unsplash.com/photo-1515377905703-c4788e51af15?w=800&q=80&auto=format&fit=crop
44,LS-044-mrl6ouw9,"Atlas Peak Packing Cube Set",ls-atlas-peak-packing-cube-set-mrl6ouw9-44,21.5,25.8,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=800&q=80&auto=format&fit=crop
45,LS-045-mrl6ouw9,"Solstice Sunglasses Soft Case",ls-solstice-sunglasses-soft-case-mrl6ouw9-45,8,9.6,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=800&q=80&auto=format&fit=crop
46,LS-046-mrl6ouw9,"Aurelia Silk Scrunchie Pack",ls-aurelia-silk-scrunchie-pack-mrl6ouw9-46,9.5,11.4,https://images.unsplash.com/photo-1532372320572-cda25653a26d?w=800&q=80&auto=format&fit=crop
47,LS-047-mrl6ouw9,"Helix Care Jade Facial Roller",ls-helix-care-jade-facial-roller-mrl6ouw9-47,12,14.4,https://images.unsplash.com/photo-1558618666-fcd25c85cd64?w=800&q=80&auto=format&fit=crop
48,LS-048-mrl6ouw9,"Nightingale White Noise Mini",ls-nightingale-white-noise-mini-mrl6ouw9-48,33,39.6,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=800&q=80&auto=format&fit=crop
49,LS-049-mrl6ouw9,"Verdant Hanging Macramé Planter",ls-verdant-hanging-macram-planter-mrl6ouw9-49,15,18,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800&q=80&auto=format&fit=crop
50,LS-050-mrl6ouw9,"Lumen Ceramic Catch-All Dish",ls-lumen-ceramic-catch-all-dish-mrl6ouw9-50,10.5,12.6,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=800&q=80&auto=format&fit=crop
51,LS-051-mrl6ouw9,"Harbor Linen Apron",ls-harbor-linen-apron-mrl6ouw9-51,19,22.8,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3?w=800&q=80&auto=format&fit=crop
52,LS-052-mrl6ouw9,"Keystone Hourglass Desk Timer",ls-keystone-hourglass-desk-timer-mrl6ouw9-52,12.5,15,https://images.unsplash.com/photo-1566150905458-1bf1fc113f0d?w=800&q=80&auto=format&fit=crop
53,LS-053-mrl6ouw9,"Brightfolio Clip Photo Frame Set",ls-brightfolio-clip-photo-frame-set-mrl6ouw9-53,11.5,13.8,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=800&q=80&auto=format&fit=crop
54,LS-054-mrl6ouw9,"Coppernest Reusable Produce Bags",ls-coppernest-reusable-produce-bags-mrl6ouw9-54,8.5,10.2,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800&q=80&auto=format&fit=crop
55,LS-055-mrl6ouw9,"Fieldcraft Pocket Multi-Tool Card",ls-fieldcraft-pocket-multi-tool-card-mrl6ouw9-55,13.5,16.2,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1?w=800&q=80&auto=format&fit=crop
56,LS-056-mrl6ouw9,"Summit Forge Insulated Cooler Tote",ls-summit-forge-insulated-cooler-tote-mrl6ouw9-56,29,34.8,https://images.unsplash.com/photo-1511379938547-c1f69419868d?w=800&q=80&auto=format&fit=crop
57,LS-057-mrl6ouw9,"NovaByte Magnetic Phone Stand",ls-novabyte-magnetic-phone-stand-mrl6ouw9-57,14.5,17.4,https://images.unsplash.com/photo-1493225457124-a3eb161ffa5f?w=800&q=80&auto=format&fit=crop
